sample	ZIKV_mapped	total_mapped_host_virus	unmapped_reads
01-mock-infected-24h_SRX4521348	2502	40544941	960144
01-mock-infected-24h_SRX4521353	1477	28977212	468464
01-mock-infected-24h_SRX4521358	895	29664178	505792
01-mock-infected-24h_SRX4521365	812	25551141	556510
01-mock-infected-24h_SRX4521372	2337	42419762	1199802
02-ZIKV-bystander-12h-ZIKY-FSS13025_SRX4521359	25437	27734769	484405
02-ZIKV-bystander-12h-ZIKY-FSS13025_SRX4521366	16966	22037034	473304
02-ZIKV-bystander-12h-ZIKY-FSS13025_SRX4521373	47496	41785656	1577308
03-ZIKV-bystander-18h-ZIKY-FSS13025_SRX4521360	114246	27288165	484074
03-ZIKV-bystander-18h-ZIKY-FSS13025_SRX4521367	88616	56171979	1566940
03-ZIKV-bystander-18h-ZIKY-FSS13025_SRX4521374	143967	54421104	1596044
04-ZIKV-bystander-24h-ZIKY-FSS13025_SRX4521349	604432	48077407	866302
04-ZIKV-bystander-24h-ZIKY-FSS13025_SRX4521354	150732	21402769	367863
04-ZIKV-bystander-24h-ZIKY-FSS13025_SRX4521361	100336	23232499	419909
04-ZIKV-bystander-24h-ZIKY-FSS13025_SRX4521368	94862	43143826	1250580
04-ZIKV-bystander-24h-ZIKY-FSS13025_SRX4521375	304371	60926279	1709560
05-ZIKV-infected-12h-ZIKY-FSS13025_SRX4521362	240622	18743962	832018
05-ZIKV-infected-12h-ZIKY-FSS13025_SRX4521369	627908	44384565	1666369
05-ZIKV-infected-12h-ZIKY-FSS13025_SRX4521376	1517861	32918685	1769466
06-ZIKV-infected-18h-ZIKY-FSS13025_SRX4521363	3593549	25246863	416962
06-ZIKV-infected-18h-ZIKY-FSS13025_SRX4521370	1430032	17786817	326242
06-ZIKV-infected-18h-ZIKY-FSS13025_SRX4521377	16398450	83135395	2348730
07-ZIKV-infected-24h-ZIKY-FSS13025_SRX4521350	12751958	34989750	499832
07-ZIKV-infected-24h-ZIKY-FSS13025_SRX4521355	10277878	26212031	341093
07-ZIKV-infected-24h-ZIKY-FSS13025_SRX4521364	8037018	24390706	358325
07-ZIKV-infected-24h-ZIKY-FSS13025_SRX4521371	2975395	12959282	235636
07-ZIKV-infected-24h-ZIKY-FSS13025_SRX4521378	16387586	54626630	1403297
